港台,#genre#
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT2727320220502042549047624
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT2805920220502041807053655
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰资讯,http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
无线新闻,http://111.229.84.232/yulin/tvb.php?id=1
无线新闻,http://radius.8866.org:880/hls/82/index.m3u8
无线新闻,http://ye23.win/iptv/tvb.php?id=1
now新闻,http://51.222.193.142:10011/9
now新闻,http://api.leonardpark.dev/live/now/332
now直播,http://51.222.193.142:10011/8
中天新闻,http://60.251.59.179:8529/http/192.168.77.24:8081/hls/64/806/ch16.m3u8
中天新闻,http://60.251.59.179:8529/http/192.168.77.7:8088/hls/104/startwest89.m3u8
中天新闻,http://60.251.59.179:8502/http/192.168.77.7:8088/hls/104/startwest89.m3u8
中天新闻,http://60.249.146.250:8595/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
东森新闻,http://60.249.146.250:8594/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
三立新闻,http://60.249.146.250:8597/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新闻,http://60.249.146.250:8564/http/60.251.39.91:8066/hls/210/10018/cstv18.m3u8
壹新闻,http://60.249.146.250:8548/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
民视新闻,http://60.249.146.250:8596/http/60.251.39.91:8081/hls/73/815/ch51.m3u8
华视新闻,http://60.249.146.250:8592/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
寰宇新闻,http://60.249.146.250:8547/http/60.251.39.91:8081/hls/76/818/ch62.m3u8
年代新闻,http://60.249.146.250:8519/http/60.251.39.91:8081/hls/66/808/ch22.m3u8
年代新闻,http://60.249.146.250:8593/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
东森新闻,http://60.249.146.250:8594/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
三立新闻,http://60.249.146.250:8597/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
壹新闻,http://60.249.146.250:8548/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
民视新闻,http://60.249.146.250:8596/http/60.251.39.91:8081/hls/73/815/ch51.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
寰宇新闻,http://60.249.146.250:8547/http/60.251.39.91:8081/hls/76/818/ch62.m3u8
年代新闻,http://60.249.146.250:8593/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
华视资讯,http://60.249.146.250:8592/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
CNN,http://60.249.146.250:8549/http/60.251.39.91:8081/hls/68/810/ch29.m3u8
CNN,http://60.249.146.250:8549/http/60.251.39.91:8081/hls/68/810/ch29.m3u8
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
NHK,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8?zshijd
NHK,http://60.249.146.250:8552/http/60.251.39.91:8081/hls/62/804/ch06.m3u8
半岛新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv10&nid=85
中天新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
TVBS新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
东森新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
